"room_type","price","minimum_nights","number_of_reviews","reviews_per_month","calculated_host_listings_count","availability_365"
"Entire home/apt",649,3,56,0.91,1,303
"Other",79,2,133,1.88,1,0
"Entire home/apt",316,2,177,2.49,1,228
"Entire home/apt",145,2,219,3.09,1,336
"Entire home/apt",139,2,33,0.47,43,324
"Entire home/apt",119,2,149,2.1,1,0
"Entire home/apt",175,3,78,1.14,2,0
"Entire home/apt",85,30,7,0.23,1,297
"Entire home/apt",102,1,131,1.97,3,9
"Entire home/apt",132,1,401,5.76,1,284
"Entire home/apt",157,2,320,4.48,10,259
"Entire home/apt",88,2,212,2.99,1,252
"Entire home/apt",97,3,157,2.2,1,72
"Entire home/apt",114,2,195,2.75,1,153
"Entire home/apt",89,1,168,2.4,2,19
"Entire home/apt",132,1,401,5.62,1,305
"Entire home/apt",179,3,29,0.41,1,0
"Entire home/apt",223,2,222,3.2,2,126
"Entire home/apt",156,1,406,5.74,1,330
"Entire home/apt",113,3,183,2.58,1,171
"Entire home/apt",242,2,30,0.43,1,13
"Entire home/apt",86,2,265,3.86,1,169
"Entire home/apt",125,3,110,1.59,3,1
"Entire home/apt",55,30,9,0.15,4,180
"Entire home/apt",112,3,347,4.89,1,6
"Entire home/apt",76,1,365,5.16,1,230
"Entire home/apt",181,2,192,2.76,2,137
"Entire home/apt",163,1,185,2.68,1,62
"Entire home/apt",72,1,238,3.36,1,357
"Entire home/apt",76,2,341,4.81,1,137
"Entire home/apt",360,30,0,0,1,253
"Entire home/apt",99,2,335,4.79,2,242
"Entire home/apt",80,3,88,1.27,1,179
"Other",56,2,101,1.46,2,290
"Entire home/apt",409,4,65,0.96,11,276
"Entire home/apt",300,3,62,0.98,43,340
"Entire home/apt",209,3,227,3.28,2,241
"Entire home/apt",109,2,299,4.26,1,134
"Entire home/apt",121,2,327,4.64,1,165
"Entire home/apt",95,2,101,1.47,1,174
"Entire home/apt",99,2,135,1.92,1,144
"Entire home/apt",350,2,187,2.7,1,321
"Entire home/apt",90,1,106,1.51,2,266
"Entire home/apt",132,2,170,2.45,1,232
"Entire home/apt",116,2,284,4.1,1,47
"Entire home/apt",196,2,84,1.85,1,158
"Entire home/apt",55,30,17,0.25,1,282
"Entire home/apt",78,2,363,5.16,1,340
"Entire home/apt",122,3,408,5.81,2,235
"Entire home/apt",130,1,158,2.31,1,0
"Entire home/apt",123,2,234,3.39,1,137
"Entire home/apt",143,2,176,2.51,1,71
"Entire home/apt",89,30,124,1.79,1,127
"Entire home/apt",168,3,216,3.09,1,0
"Entire home/apt",200,30,30,0.45,1,119
"Entire home/apt",138,1,59,0.85,1,0
"Entire home/apt",219,2,237,3.42,2,163
"Entire home/apt",104,2,214,3.08,1,323
"Entire home/apt",129,2,217,3.35,3,39
"Other",78,2,61,0.89,2,336
"Other",56,1,167,2.39,4,15
"Entire home/apt",205,2,30,0.43,1,56
"Entire home/apt",73,2,221,3.18,2,162
"Entire home/apt",141,2,252,3.64,2,329
"Entire home/apt",130,2,260,3.75,1,296
"Other",57,1,28,0.45,2,310
"Entire home/apt",65,2,533,7.69,1,246
"Entire home/apt",203,2,27,0.42,51,347
"Entire home/apt",195,10,28,0.5,4,0
"Other",70,2,213,3.08,2,0
"Entire home/apt",98,2,153,2.21,1,338
"Other",26,2,123,1.78,2,0
"Entire home/apt",340,3,172,2.56,2,267
"Entire home/apt",89,1,101,1.47,2,177
"Entire home/apt",99,1,240,3.48,5,337
"Entire home/apt",92,30,222,3.64,1,108
"Entire home/apt",144,30,102,1.49,1,184
"Other",250,3,1,0.02,1,0
"Entire home/apt",411,3,219,3.27,2,259
"Entire home/apt",70,2,143,2.1,1,155
"Other",34,21,11,0.27,2,102
"Entire home/apt",132,2,467,6.78,1,138
"Entire home/apt",115,2,150,2.19,1,348
"Entire home/apt",82,1,257,3.78,1,52
"Entire home/apt",100,2,60,0.88,1,70
"Entire home/apt",95,1,13,0.19,5,90
"Entire home/apt",260,2,38,0.62,43,338
"Entire home/apt",138,5,13,0.21,1,268
"Entire home/apt",99,2,385,5.65,2,105
"Entire home/apt",111,2,196,2.88,1,0
"Entire home/apt",254,2,148,2.19,3,0
"Entire home/apt",385,3,36,0.54,1,120
"Entire home/apt",96,2,137,2.34,2,219
"Entire home/apt",117,2,281,4.87,1,0
"Entire home/apt",165,2,67,0.99,1,335
"Entire home/apt",93,2,134,1.98,1,44
"Entire home/apt",90,1,193,2.89,2,0
"Entire home/apt",102,2,110,1.62,3,0
"Entire home/apt",254,1,69,1.09,2,295
"Entire home/apt",177,2,192,2.96,2,315
"Entire home/apt",85,2,616,9.19,2,282
"Entire home/apt",60,1,415,6.37,1,48
"Entire home/apt",84,3,56,1.3,1,169
"Entire home/apt",185,1,18,0.42,8,156
"Entire home/apt",52,2,246,4.01,1,172
"Other",65,1,363,5.4,1,1
"Entire home/apt",94,1,337,5.04,9,301
"Entire home/apt",145,1,108,1.71,2,302
"Other",229,1,2,0.06,6,120
"Entire home/apt",313,2,238,3.56,1,294
"Entire home/apt",105,2,156,2.36,1,297
"Entire home/apt",188,1,162,2.42,1,162
"Other",144,2,137,2.06,1,183
"Entire home/apt",125,2,143,2.16,1,171
"Entire home/apt",221,1,300,4.62,6,173
"Entire home/apt",51,30,15,0.25,4,26
"Entire home/apt",54,2,84,1.35,1,4
"Entire home/apt",72,30,42,0.65,1,290
"Entire home/apt",84,1,277,4.36,2,152
"Other",44,30,148,2.27,5,324
"Entire home/apt",120,29,4,0.15,1,63
"Entire home/apt",100,2,608,9.56,1,42
"Entire home/apt",170,1,581,9.05,3,138
"Entire home/apt",110,2,330,4.99,1,123
"Entire home/apt",88,2,82,1.25,3,0
"Entire home/apt",104,2,184,2.81,1,152
"Entire home/apt",191,2,113,1.72,2,1
"Entire home/apt",96,28,7,0.15,2,128
"Entire home/apt",98,2,193,2.95,1,171
"Other",230,1,1,0.02,6,95
"Other",231,1,2,0.06,6,91
"Entire home/apt",116,1,175,2.72,2,173
"Entire home/apt",125,2,426,6.61,1,126
"Entire home/apt",144,1,148,2.26,1,142
"Entire home/apt",125,2,367,5.72,1,146
"Entire home/apt",119,2,225,3.45,1,163
"Entire home/apt",123,2,198,3.07,2,346
"Entire home/apt",118,2,232,3.68,1,224
"Entire home/apt",85,1,477,7.4,3,54
"Entire home/apt",96,2,277,4.33,1,77
"Other",70,1,90,1.41,1,0
"Entire home/apt",405,2,84,1.29,2,355
"Entire home/apt",150,3,39,0.6,2,97
"Other",43,2,109,2.48,1,21
"Other",75,1,303,4.75,1,151
"Other",91,2,85,1.47,1,135
"Entire home/apt",138,1,682,10.47,1,321
"Entire home/apt",135,29,85,1.31,2,117
"Other",85,1,134,2.18,1,49
"Entire home/apt",98,1,342,6.07,1,154
"Entire home/apt",149,2,253,3.94,2,314
"Entire home/apt",286,2,255,5.19,1,156
"Entire home/apt",90,3,154,2.65,1,151
"Other",61,2,161,2.53,2,0
"Entire home/apt",85,1,324,5.08,2,143
"Entire home/apt",65,1,450,7.08,1,293
"Entire home/apt",136,3,147,2.28,1,317
"Entire home/apt",198,2,575,8.98,2,83
"Entire home/apt",332,4,38,0.65,2,222
"Entire home/apt",99,2,134,2.09,2,269
"Other",393,1,24,0.38,7,0
