"room_type","price","minimum_nights","number_of_reviews","reviews_per_month","calculated_host_listings_count","availability_365"
"Entire home/apt",78,60,9,3.6,2,15
"Entire home/apt",239,3,1,0.35,1,327
"Entire home/apt",140,1,32,8,1,312
"Entire home/apt",45,1,1,0.37,5,313
"Other",65,2,0,0,1,109
"Entire home/apt",139,1,0,0,1,68
"Entire home/apt",250,2,4,1.28,4,347
"Entire home/apt",93,2,6,1.42,34,365
"Entire home/apt",197,30,0,0,4,46
"Entire home/apt",196,1,6,2.54,1,273
"Entire home/apt",124,2,1,0.23,5,0
"Entire home/apt",100,1,2,1.62,2,0
"Entire home/apt",260,3,20,5.04,1,274
"Entire home/apt",574,2,12,3.16,2,148
"Entire home/apt",210,1,19,4.83,9,50
"Entire home/apt",213,1,2,0.91,3,154
"Entire home/apt",117,3,0,0,3,0
"Entire home/apt",99,1,11,3.55,1,57
"Entire home/apt",87,2,23,6.97,1,271
"Other",278,1,0,0,7,292
"Other",256,1,0,0,7,286
"Entire home/apt",163,3,3,0.97,3,339
"Entire home/apt",198,30,0,0,2,287
"Other",40,90,0,0,1,317
"Entire home/apt",117,2,4,1,1,265
"Entire home/apt",126,2,9,2.55,1,345
"Entire home/apt",181,1,26,6.45,1,69
"Entire home/apt",106,30,0,0,43,0
"Entire home/apt",107,29,0,0,1,31
"Entire home/apt",108,2,11,5.16,2,64
"Entire home/apt",99,2,2,1.4,2,181
"Entire home/apt",139,1,8,2,3,358
"Entire home/apt",110,1,6,3.4,4,5
"Other",256,1,0,0,7,296
"Other",256,1,0,0,7,328
"Other",278,1,0,0,7,322
"Entire home/apt",81,1,14,4.2,2,339
"Other",75,1,0,0,1,85
"Entire home/apt",104,2,18,5,1,324
"Entire home/apt",115,2,2,1.4,1,315
"Entire home/apt",131,2,5,2.05,34,365
"Entire home/apt",87,28,1,0.59,14,15
"Entire home/apt",87,28,0,0,14,49
"Entire home/apt",220,1,3,0.98,13,328
"Entire home/apt",173,1,1,1,8,340
"Entire home/apt",163,1,1,1,8,354
"Entire home/apt",213,2,5,2.68,34,362
"Entire home/apt",171,2,5,1.63,34,365
"Entire home/apt",329,2,7,2.28,4,304
"Other",92,2,5,1.55,3,77
"Entire home/apt",205,2,4,1.41,1,346
"Entire home/apt",139,2,4,1.54,2,364
"Entire home/apt",328,2,7,2.28,2,253
"Entire home/apt",243,2,1,0.75,1,250
"Entire home/apt",298,1,2,2,34,323
"Entire home/apt",243,2,13,4.24,1,320
"Entire home/apt",126,30,0,0,1,165
"Entire home/apt",48,1,16,4.85,1,100
"Other",93,1,19,5.43,1,60
"Entire home/apt",104,2,4,1.45,4,307
"Entire home/apt",290,2,8,3.08,1,300
"Entire home/apt",120,2,7,3.23,1,257
"Entire home/apt",270,10,0,0,1,358
"Entire home/apt",116,2,6,1.88,4,353
"Entire home/apt",79,1,12,4.24,6,0
"Other",49,3,8,2.67,1,49
"Entire home/apt",200,2,2,0.73,11,340
"Entire home/apt",313,1,3,1.06,13,318
"Entire home/apt",138,4,0,0,1,6
"Entire home/apt",77,30,1,1,1,179
"Other",61,1,10,5.45,1,54
"Entire home/apt",235,3,4,3.43,1,315
"Entire home/apt",89,30,1,0.32,4,327
"Entire home/apt",184,3,3,1.58,4,347
"Entire home/apt",20,1,0,0,19,45
"Entire home/apt",109,2,10,3.85,1,134
"Entire home/apt",198,1,4,1.56,34,325
"Entire home/apt",73,30,0,0,3,302
"Entire home/apt",87,2,8,3.38,1,345
"Entire home/apt",100,30,0,0,1,275
"Entire home/apt",100,1,0,0,5,136
"Entire home/apt",89,1,3,1.53,34,346
"Entire home/apt",136,2,8,3.04,1,187
"Other",54,2,4,2.14,1,334
"Entire home/apt",177,2,0,0,4,110
"Entire home/apt",130,2,2,1.05,1,46
"Entire home/apt",97,1,0,0,14,12
"Entire home/apt",79,1,4,1.9,1,348
"Entire home/apt",160,2,5,3.57,1,333
"Entire home/apt",404,1,1,1,51,353
"Entire home/apt",89,2,9,3.8,3,81
"Entire home/apt",201,2,8,3.75,1,130
"Other",100,1,0,0,1,364
"Entire home/apt",90,1,21,8.08,9,184
"Entire home/apt",66,2,2,2,1,279
"Entire home/apt",299,2,4,1.71,2,326
"Entire home/apt",172,1,1,0.67,113,311
"Entire home/apt",102,2,3,1.7,34,365
"Entire home/apt",101,1,1,1,14,21
"Entire home/apt",207,2,0,0,34,365
"Entire home/apt",110,2,3,1.18,34,364
"Entire home/apt",176,1,0,0,51,365
"Entire home/apt",78,1,21,8.08,9,191
"Entire home/apt",125,2,0,0,9,6
"Entire home/apt",123,1,6,6,1,224
"Entire home/apt",125,7,4,4,1,252
"Entire home/apt",239,2,6,2.86,4,276
"Entire home/apt",73,1,19,7.31,9,185
"Entire home/apt",288,3,10,6.25,1,308
"Entire home/apt",120,30,0,0,2,14
"Entire home/apt",125,30,0,0,1,252
"Entire home/apt",466,2,5,2.46,1,274
"Entire home/apt",118,2,5,2.34,1,255
"Entire home/apt",105,1,4,2.73,6,135
"Entire home/apt",99,7,3,1.38,1,282
"Entire home/apt",159,1,0,0,14,74
"Entire home/apt",65,1,17,7.85,1,164
"Entire home/apt",642,2,2,2,2,240
"Entire home/apt",1000,2,0,0,1,43
"Entire home/apt",125,1,7,3.68,1,147
"Other",49,1,8,3.69,1,60
"Entire home/apt",78,1,10,4.69,4,312
"Entire home/apt",97,2,8,3.75,1,143
"Entire home/apt",752,1,4,2.4,1,311
"Entire home/apt",126,29,0,0,1,219
"Entire home/apt",205,30,0,0,4,88
"Entire home/apt",123,1,0,0,8,347
"Entire home/apt",100,1,0,0,1,331
"Entire home/apt",129,1,7,3.62,5,363
"Entire home/apt",760,1,1,0.7,1,299
"Entire home/apt",90,2,1,1,1,176
"Entire home/apt",161,2,7,6.18,1,335
"Other",30,20,1,1,1,321
"Entire home/apt",147,2,3,3,1,347
"Entire home/apt",120,1,2,2,1,172
"Entire home/apt",104,2,5,4.41,1,296
"Entire home/apt",72,30,0,0,1,47
"Entire home/apt",128,1,4,2.26,3,9
"Entire home/apt",107,2,5,3.49,1,316
"Entire home/apt",104,2,2,1.15,1,310
"Entire home/apt",102,2,6,4.19,1,55
"Entire home/apt",195,2,4,4,1,300
"Other",130,1,0,0,4,0
"Entire home/apt",734,1,1,1,34,256
"Entire home/apt",129,1,0,0,34,310
"Entire home/apt",198,1,0,0,34,159
"Entire home/apt",160,1,0,0,34,306
"Other",72,1,2,1.43,1,365
"Entire home/apt",150,7,0,0,1,0
"Entire home/apt",87,1,3,1.76,6,103
"Entire home/apt",118,1,0,0,34,282
"Entire home/apt",224,2,5,2.78,3,229
"Entire home/apt",295,2,0,0,1,321
"Entire home/apt",157,2,4,4,1,307
"Entire home/apt",95,1,3,2.37,6,106
"Entire home/apt",165,1,4,4,1,257
"Entire home/apt",149,1,2,1.4,34,342
"Entire home/apt",93,1,6,4.19,1,132
"Entire home/apt",159,1,8,4.8,1,339
"Entire home/apt",67,1,10,6.98,1,137
"Entire home/apt",166,1,1,1,4,335
"Other",62,1,0,0,3,0
"Entire home/apt",144,1,3,2.09,2,10
"Entire home/apt",126,3,0,0,1,95
"Entire home/apt",104,2,8,6.15,1,294
"Entire home/apt",91,2,0,0,3,2
"Entire home/apt",194,2,0,0,2,347
"Entire home/apt",141,2,2,2,1,361
"Entire home/apt",214,1,0,0,34,323
"Other",55,1,0,0,1,2
"Entire home/apt",150,2,0,0,43,364
"Entire home/apt",179,2,2,2,1,330
"Entire home/apt",75,2,0,0,43,351
"Entire home/apt",168,3,1,1,4,351
"Entire home/apt",163,3,2,2,4,358
"Other",63,30,0,0,1,335
"Entire home/apt",120,2,0,0,1,70
"Other",57,2,1,1,1,62
"Other",82,3,1,1,1,352
"Entire home/apt",142,1,0,0,1,354
"Entire home/apt",128,30,0,0,2,261
"Entire home/apt",199,1,0,0,4,0
"Entire home/apt",180,1,4,4,1,291
"Entire home/apt",120,30,0,0,2,290
"Entire home/apt",99,1,3,3,1,363
"Entire home/apt",97,1,6,5.62,1,218
"Entire home/apt",70,7,0,0,2,14
"Entire home/apt",76,2,2,2,1,344
"Entire home/apt",75,30,0,0,1,159
"Entire home/apt",254,2,2,2,4,352
"Entire home/apt",150,1,0,0,6,340
"Entire home/apt",91,1,2,2,1,347
"Entire home/apt",60,2,0,0,2,70
"Entire home/apt",183,2,0,0,1,138
"Entire home/apt",130,2,0,0,43,335
"Entire home/apt",206,3,0,0,1,264
"Entire home/apt",350,2,1,1,3,364
"Entire home/apt",196,1,1,1,3,364
"Entire home/apt",146,2,0,0,34,363
"Entire home/apt",655,2,3,3,2,236
"Entire home/apt",111,2,3,3,1,317
"Entire home/apt",358,2,1,1,2,178
"Entire home/apt",153,1,0,0,3,364
"Other",80,1,1,1,1,46
"Entire home/apt",195,2,0,0,1,7
"Entire home/apt",116,2,2,2,9,347
"Entire home/apt",91,2,1,1,1,163
"Entire home/apt",188,1,0,0,14,74
"Entire home/apt",150,1,0,0,6,345
"Entire home/apt",150,1,0,0,6,330
"Entire home/apt",150,1,0,0,6,343
"Entire home/apt",220,2,0,0,1,346
"Entire home/apt",200,1,2,2,1,325
"Entire home/apt",84,30,0,0,2,260
"Entire home/apt",76,28,0,0,1,165
"Entire home/apt",101,2,0,0,1,58
"Entire home/apt",98,1,0,0,2,20
"Entire home/apt",116,2,1,1,43,349
"Entire home/apt",92,4,0,0,1,65
"Entire home/apt",239,1,0,0,1,346
"Entire home/apt",281,1,0,0,51,331
"Entire home/apt",187,3,0,0,2,153
"Entire home/apt",293,1,5,5,13,329
"Entire home/apt",122,30,0,0,34,365
"Entire home/apt",854,2,0,0,1,335
"Entire home/apt",111,1,0,0,10,335
"Entire home/apt",101,1,1,1,10,354
"Entire home/apt",101,1,0,0,10,341
"Entire home/apt",104,1,1,1,10,352
"Entire home/apt",101,1,1,1,10,357
"Entire home/apt",104,1,1,1,10,348
"Entire home/apt",104,1,0,0,10,340
"Entire home/apt",104,1,1,1,10,314
"Entire home/apt",219,2,0,0,1,257
"Entire home/apt",160,30,0,0,1,126
"Entire home/apt",290,1,0,0,1,240
"Entire home/apt",173,1,0,0,3,341
"Entire home/apt",146,1,0,0,1,352
"Entire home/apt",168,2,0,0,34,361
"Entire home/apt",145,21,0,0,1,37
"Entire home/apt",142,2,0,0,43,291
"Entire home/apt",999,1,0,0,2,9
"Entire home/apt",999,1,0,0,2,9
"Other",65,1,0,0,1,361
"Entire home/apt",150,2,0,0,1,126
"Entire home/apt",131,2,0,0,34,365
"Other",91,1,0,0,1,365
"Entire home/apt",121,2,0,0,1,326
"Other",135,1,0,0,2,350
"Entire home/apt",399,3,0,0,3,311
"Entire home/apt",75,2,0,0,1,360
"Entire home/apt",129,2,0,0,1,353
"Entire home/apt",77,1,0,0,1,122
"Other",82,1,0,0,1,172
"Entire home/apt",166,3,0,0,1,112
